combination,combination_size,mode,target,corr,mae,rmse,weighted_component
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Total_g,0.8198894611330702,11.282130621662727,17.33775652751797,0.6150680315366277
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,raw,Dry_Green_g,0.750883449080852,11.558491666666669,17.180959135922027,0.5412210751048324
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,raw,Dry_Dead_g,0.05582280367426059,8.999223511904763,13.154696513267753,-0.12822558552218588
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,raw,Dry_Clover_g,-0.24378832911412068,6.79193806767397,13.324199844768453,-0.21242736941190432
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,raw,GDM_g,0.8230540134155628,10.221263427871149,14.445176235633058,0.6634756109841566
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,raw,Dry_Total_g,0.8151798690245908,11.366293592436975,16.411549037154753,0.6550967153949325
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Green_g,0.750883449080852,11.558491666666669,17.180959135922027,0.5412210751048324
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Dead_g,0.03754188465243351,9.115979210434173,13.40198007430386,-0.17104130526099315
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Clover_g,-0.24449445984985227,6.711093719961129,13.393174651936999,-0.22501250007250806
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,postprocess,GDM_g,0.8227243472902684,10.232784464560972,15.029147832061858,0.6357164437468598
dinov2-vitg-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Total_g,0.8094574814653743,11.627044119673014,17.672903328367607,0.6000423716172112
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,raw,Dry_Green_g,0.7233335316257355,12.15568912815126,18.046834297930737,0.49381332197998884
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,raw,Dry_Dead_g,0.09861881300132264,8.872327345938375,13.014493865736547,-0.10430450574177685
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,raw,Dry_Clover_g,-0.2596011852948404,6.82857668067227,13.372980407756,-0.22132113457489533
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,raw,GDM_g,0.8071813317938235,10.68132232142857,15.147444668595416,0.6299592057340744
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,raw,Dry_Total_g,0.8174194458618664,11.404621323529412,16.487242332231585,0.6519078547897132
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Green_g,0.7233335316257355,12.15568912815126,18.046834297930737,0.49381332197998884
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Dead_g,0.08791240369812858,8.949340861344536,13.229323765798894,-0.14106285633675109
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Clover_g,-0.2599834619779953,6.743844780724789,13.432071353016031,-0.2321382395240268
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,postprocess,GDM_g,0.8073252517952925,10.728014292279411,15.726129206706581,0.6011454653254801
dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Total_g,0.8141062474311275,11.54036665545124,17.75449663308518,0.5963407503253793
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Green_g,0.7398083310673155,11.848778764005603,17.55949896748469,0.520782257170196
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Dead_g,0.10365142278577473,8.892028116246498,13.0139342830323,-0.10420954447427722
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Clover_g,-0.25714497235729883,6.837749528473499,13.36086624864319,-0.21910942457245808
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,raw,GDM_g,0.8143703583949752,10.266608613445376,14.782539812356003,0.6475731650828986
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Total_g,0.8276911221447205,10.98159031862745,15.957001977471883,0.6739375567253496
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Green_g,0.7398083310673155,11.848778764005603,17.55949896748469,0.520782257170196
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Dead_g,0.0914640950816717,8.9880606267507,13.230189524422588,-0.14121220899457732
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Clover_g,-0.2583342314221263,6.750041968936013,13.42266411576353,-0.23041297206212508
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,GDM_g,0.814887966132309,10.342851281704087,15.30395912660565,0.622272634880294
dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Total_g,0.8241101917928015,11.252700195996367,17.198548908972274,0.6212245765803553
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Green_g,0.7536376295045465,11.63723162640056,17.201109416198978,0.5401443080909668
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Dead_g,0.06597575344036538,8.938837088585435,13.100377991342823,-0.11892745845631003
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Clover_g,-0.25000629322230294,6.810950219653902,13.335709932310374,-0.21452298083879673
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,raw,GDM_g,0.8216437977426442,10.327331582633054,14.556362293209038,0.6582751454305762
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Total_g,0.8194520224423546,11.357398844537814,16.277578365222855,0.6607047572222517
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Green_g,0.7536376295045465,11.63723162640056,17.201109416198978,0.5401443080909668
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Dead_g,0.04568620726937471,9.04124319415266,13.351610254868302,-0.16225539537315115
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Clover_g,-0.2514192467227497,6.725877956272839,13.402521396299186,-0.2267229047018704
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,GDM_g,0.8215908182514601,10.326099332793419,15.093617313868792,0.6325844573277275
dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Total_g,0.8142579845090897,11.599742544453083,17.515183105994183,0.6071492880959428
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Green_g,0.7340833745921044,11.97511325280112,17.645326508437385,0.5160861552383791
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Dead_g,0.1226803532473425,8.884061397058824,12.981973364679018,-0.098792548495511
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Clover_g,-0.2561240327896377,6.837006627152814,13.384994024165858,-0.22351646780488466
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,raw,GDM_g,0.8096134928934975,10.379396165966387,14.864606050151451,0.6436492620253031
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,raw,Dry_Total_g,0.8306237897633509,10.847939513305322,15.775317106288899,0.6813203168654658
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Green_g,0.7340833745921044,11.97511325280112,17.645326508437385,0.5160861552383791
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Dead_g,0.122112267736704,8.9661750087535,13.157297219901888,-0.12867173398463883
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Clover_g,-0.25604970434426566,6.752189654181986,13.44134247243653,-0.23383972588024515
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,GDM_g,0.8105192148106829,10.44854919071144,15.35616430905222,0.6196912166558404
dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Total_g,0.828484810555693,11.050343707463453,16.950510289780595,0.6320712416324015
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Green_g,0.7490840941946193,11.749983972338937,17.26968628447746,0.5364703211675519
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Dead_g,0.08909454057431776,8.93031137079832,13.0627512594341,-0.11250915178950027
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Clover_g,-0.249889271399768,6.808866903417251,13.35942711731526,-0.21884681224718894
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,raw,GDM_g,0.8177884292850374,10.392270150560224,14.615494950236496,0.6554931121032908
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,raw,Dry_Total_g,0.8247105794373493,11.17450931372549,16.02228972663808,0.6712639426580693
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Green_g,0.7490840941946193,11.749983972338937,17.26968628447746,0.5364703211675519
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Dead_g,0.07581318220506268,9.015508539040615,13.289402513058848,-0.15145027908779074
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Clover_g,-0.24970187152979903,6.7262385316822035,13.420673733052796,-0.23004809499885015
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,GDM_g,0.8183515846295263,10.46059005654386,15.12288548181381,0.6311581582814536
dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,2,postprocess,Dry_Total_g,0.8205156199517486,11.429097912537818,17.2267180778345,0.6199827826546526
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,raw,Dry_Green_g,0.7580006774112288,11.493263944327731,16.906373735905404,0.5557682651606961
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,raw,Dry_Dead_g,0.0935281894141082,8.958142393207282,13.069029041624107,-0.11357872254536572
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,raw,Dry_Clover_g,-0.24634735547117714,6.818844057120529,13.347721054476661,-0.21671174369983337
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,raw,GDM_g,0.8185112407774724,10.277670868347338,14.449769840402615,0.6632615456370741
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,raw,Dry_Total_g,0.8278942708242215,11.058787272408964,15.785518396862718,0.680908027824817
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,postprocess,Dry_Green_g,0.7580006774112288,11.493263944327731,16.906373735905404,0.5557682651606961
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,postprocess,Dry_Dead_g,0.08716575735333691,9.06331625962885,13.272701282850674,-0.14855796661878062
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,postprocess,Dry_Clover_g,-0.24634468435765272,6.733133720453514,13.4106127431387,-0.22820454183713612
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,postprocess,GDM_g,0.8193392462494063,10.217141350010463,14.868106729989165,0.643481397941764
dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,2,postprocess,Dry_Total_g,0.8241090119231981,11.397567946430282,16.87979977606579,0.6351345319025208
