combination_size,combination,raw_oof_weighted_r2,post_oof_weighted_r2,post_delta,raw_Dry_Green_g_weighted_component,post_Dry_Green_g_weighted_component,raw_Dry_Dead_g_weighted_component,post_Dry_Dead_g_weighted_component,raw_Dry_Clover_g_weighted_component,post_Dry_Clover_g_weighted_component,raw_GDM_g_weighted_component,post_GDM_g_weighted_component,raw_Dry_Total_g_weighted_component,post_Dry_Total_g_weighted_component
2,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.495654102931373,0.4641641212100911,-0.03148998172128192,0.5557682651606961,0.5557682651606961,-0.11357872254536572,-0.14855796661878062,-0.21671174369983337,-0.22820454183713612,0.6632615456370741,0.643481397941764,0.680908027824817,0.6351345319025208
3,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.49700982087967294,0.4640878838619452,-0.03292193701772772,0.5520005928789591,0.5520005928789591,-0.1100294453380215,-0.14704574444493046,-0.21732630925800045,-0.22888962832707627,0.6637024826385381,0.642743357774241,0.6836096810473431,0.6358653805928036
2,dinov3-vitl-896-timm + dinov3-vitl-1024-timm,0.49436936923929664,0.46260065574893255,-0.03176871349036409,0.5366318003976591,0.5366318003976591,-0.10213142976701883,-0.1326751527540737,-0.21999715657615093,-0.23114799911734285,0.6533906622027579,0.632701896551941,0.6844818307865923,0.6375588231718402
2,dinov3-vitl-896-timm + dinov3-vithplus-896-timm,0.4962456222737769,0.46206170731122054,-0.03418391496255635,0.559314328143024,0.559314328143024,-0.11536383427966146,-0.1551708479494931,-0.2153382188098294,-0.22732826467976386,0.6691023039157169,0.6472333060025124,0.6791278679705604,0.6298670491186826
1,dinov3-vitl-1024-timm,0.4913738777031448,0.4619816020762018,-0.029392275626942965,0.5314049517752621,0.5314049517752621,-0.10095238363182535,-0.13177351939672133,-0.22139883042261066,-0.2320082642747241,0.6453424089532669,0.6269419865187882,0.6828000442808175,0.639661775924125
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518,0.4952974309805118,0.4613426492644853,-0.033954781716026505,0.5402328516513917,0.5402328516513917,-0.10654463194007002,-0.13999706539737078,-0.21938046475514583,-0.23057150467057497,0.6595877612614751,0.6363457980592264,0.6838982064651984,0.6342141229885909
3,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518,0.49326029338914773,0.4596632281334292,-0.03359706525571854,0.5385077713659909,0.5385077713659909,-0.10783281158025804,-0.14085065351049875,-0.21965394170186836,-0.23067363524032025,0.6571959819463282,0.6341869467936673,0.6814379903829912,0.6322549810263571
1,dinov3-vitl-896-timm,0.493333939764351,0.4590855494400428,-0.03424839032430821,0.5387249808185841,0.5387249808185841,-0.10418989343843288,-0.14003638912339533,-0.218643923080881,-0.23029930052839398,0.6572409870542816,0.6347942943120681,0.6805932518471354,0.6305755229218994
3,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitl-reg4-518,0.49290208209868,0.45895026863510374,-0.033951813463576286,0.525743366435514,0.525743366435514,-0.10011246993622436,-0.13091108985519706,-0.22186309136013094,-0.232647404080492,0.651242380943998,0.6273017839354893,0.6845536507919291,0.6345428491960468
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitg-reg4-518,0.4937517469524365,0.4585262167568696,-0.0352255301955669,0.5423673448611779,0.5423673448611779,-0.10932414134405732,-0.14667996344954148,-0.21719675909542335,-0.22894864547829674,0.661317180703703,0.6374086417875109,0.6798073327390524,0.6287412296120669
3,dinov3-vitl-896-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518,0.4935127434338867,0.4581468639532537,-0.03536587948063297,0.5407377421800145,0.5407377421800145,-0.10898577361245243,-0.14528388170198414,-0.2187381486200164,-0.23011206533022377,0.6610703862484524,0.6366012801615841,0.6799945683788833,0.6285848568123125
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitg-518,0.49281493444053764,0.4571996677966099,-0.03561526664392772,0.5434567048342438,0.5434567048342438,-0.11415550449510103,-0.15053267085398625,-0.21612739720734586,-0.22805518101543365,0.6645076143176248,0.6395362107230245,0.677192062527666,0.6256110807110453
3,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitg-reg4-518,0.49127116276209115,0.4557417069282831,-0.035529455833808066,0.528827621849459,0.528827621849459,-0.10364225799362714,-0.13743095524009052,-0.21892517875449946,-0.23035851060602597,0.6538233512546331,0.6289984169196037,0.6797609480020625,0.6276764158880562
3,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitg-reg4-518,0.49101534155992427,0.4555747472380537,-0.03544059432187058,0.5413053257040844,0.5413053257040844,-0.11165192573600025,-0.15153081173998295,-0.2167510236640735,-0.22851773521380014,0.6594335002360194,0.6355271168776013,0.6756768077646386,0.6246872919750066
2,dinov3-vitl-1024-timm + dinov2-vitl-reg4-518,0.48876772473159186,0.45533133368471834,-0.033436391046873515,0.5160861552383791,0.5160861552383791,-0.098792548495511,-0.12867173398463883,-0.22351646780488466,-0.23383972588024515,0.6436492620253031,0.6196912166558404,0.6813203168654658,0.6320712416324015
1,dinov3-vithplus-896-timm,0.487280167399356,0.4542018440018761,-0.0330783233974799,0.5687223085755879,0.5687223085755879,-0.12888867415002525,-0.1728514260875451,-0.2122089377813987,-0.22439956540018335,0.6671123102223188,0.647239899701666,0.6621904713809517,0.6152134647055139
3,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitg-518,0.4900140799120129,0.45414758788221155,-0.035866492029801356,0.530404500197525,0.530404500197525,-0.11011689768943866,-0.1420033951629378,-0.21749046536598016,-0.22927383101571808,0.6581674424007051,0.6319280878235776,0.6762017554353225,0.6236984858312182
3,dinov3-vitl-896-timm + dinov3-vithplus-896-timm + dinov2-vitg-reg4-518,0.4909808204971577,0.45389401691469,-0.03708680358246769,0.5433677292079001,0.5433677292079001,-0.1129605887992744,-0.15543507998797024,-0.21583721953079515,-0.22788006816097273,0.6631438583845046,0.637784528142211,0.6737901134649474,0.6206637063607041
3,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitg-518,0.489665605852259,0.4534700223375134,-0.03619558351474561,0.5425527130891095,0.5425527130891095,-0.11809584533275519,-0.15800791417659887,-0.2153346030404919,-0.22732703545169008,0.6634107271486112,0.6381281784266145,0.672142467901901,0.6202452206122169
2,dinov3-vitl-896-timm + dinov2-vitl-reg4-518,0.4892342316762115,0.4534086637848235,-0.03582556789138802,0.5193875433310771,0.5193875433310771,-0.10041097032163093,-0.1322695364864548,-0.22214073094484732,-0.23291672595609114,0.6495005554326667,0.6233346334810548,0.6793010727664366,0.6266432179995188
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitl-reg4-518 + dinov2-vitg-reg4-518,0.4891269202209245,0.45331281143584845,-0.03581410878507607,0.5211474416597901,0.5211474416597901,-0.10194656447513917,-0.13409403534671238,-0.2205983674572134,-0.23165252970831252,0.6500240907446683,0.624099336194962,0.6785237021984942,0.625905713072759
4,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518 + dinov2-vitg-reg4-518,0.4888633316034372,0.4528439614404524,-0.03601937016298479,0.5305620148260999,0.5305620148260999,-0.10793287332981061,-0.1459118621095945,-0.21895411237031892,-0.2302884587340177,0.6540609825104102,0.6289497614493513,0.6753672643775162,0.6232356795046667
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitl-reg4-518 + dinov2-vitg-518,0.4879992799130834,0.4518573203136227,-0.036141959599460705,0.5222009100462434,0.5222009100462434,-0.10686862643820971,-0.1383618179270425,-0.21951266611951192,-0.23085627739942605,0.6530577403803698,0.6261108505168211,0.6756115401763145,0.622673737476562
3,dinov3-vitl-896-timm + dinov3-vithplus-896-timm + dinov2-vitg-518,0.4896088888604384,0.4518351276676423,-0.03777376119279613,0.5445355415236538,0.5445355415236538,-0.11923826501742818,-0.16081371780268428,-0.21442117045232867,-0.22673417807391338,0.66714983978129,0.6403578079224423,0.6701826205975814,0.6161296030368963
4,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518 + dinov2-vitg-518,0.487683572698015,0.45172513331107683,-0.03595843938693816,0.5314301424514047,0.5314301424514047,-0.11283765586027195,-0.14737599709629912,-0.21787870054757463,-0.22944183615135838,0.6568882650336263,0.6307764297906676,0.6724690821738678,0.6202172328651372
2,dinov3-vithplus-896-timm + dinov2-vitl-reg4-518,0.48724202946277906,0.4517202176917081,-0.035521811771070944,0.5364703211675519,0.5364703211675519,-0.11250915178950027,-0.15145027908779074,-0.21884681224718894,-0.23004809499885015,0.6554931121032908,0.6311581582814536,0.6712639426580693,0.6199827826546526
4,dinov3-vitl-896-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518 + dinov2-vitg-reg4-518,0.48883803704662154,0.4516604415008763,-0.037177595545745235,0.5320899582085763,0.5320899582085763,-0.10887125860753066,-0.14848129993980175,-0.2182683447729452,-0.22981648833165358,0.6568672211206927,0.6306396404280068,0.6739391146793459,0.6203065928431257
2,dinov3-vitl-1024-timm + dinov2-vitg-reg4-518,0.4862297401916006,0.44998252287758583,-0.03624721731401476,0.520782257170196,0.520782257170196,-0.10420954447427722,-0.14121220899457732,-0.21910942457245808,-0.23041297206212508,0.6475731650828986,0.622272634880294,0.6739375567253496,0.6212245765803553
4,dinov3-vitl-896-timm + dinov3-vithplus-896-timm + dinov2-vitl-reg4-518 + dinov2-vitg-518,0.4876457945202772,0.44990345460094955,-0.03774233991932763,0.5329133310463579,0.5329133310463579,-0.11368252635727694,-0.1536489253588864,-0.2171931420786788,-0.22901727984182174,0.6597106785024254,0.6324506821703406,0.6709997851175038,0.6167772111646329
4,dinov3-vitl-896-timm + dinov3-vitl-1024-timm + dinov2-vitg-reg4-518 + dinov2-vitg-518,0.48668868067936355,0.44890043969481386,-0.03778824098454969,0.5244941812768447,0.5244941812768447,-0.10951902743462205,-0.1463359081979565,-0.21733397119147768,-0.22910003730608297,0.6550184002214461,0.6273709588654732,0.6718417647399997,0.6170408486888774
